epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,680.982,1.20528,0.74385,1.24884,0.90312,0.86151,0.92777,0.5539,1.34551,0.68909,1.4296,0.000848969,0.000848969,0.000848969
43,697.518,1.19257,0.73513,1.23954,0.93503,0.85175,0.92505,0.55765,1.34256,0.6924,1.44464,0.000834822,0.000834822,0.000834822
44,714.015,1.20019,0.73665,1.25799,0.90423,0.86839,0.92299,0.53904,1.41571,0.71872,1.4766,0.000820675,0.000820675,0.000820675
45,730.716,1.18908,0.71475,1.23692,0.90334,0.86547,0.92796,0.55887,1.35002,0.70112,1.42269,0.000806528,0.000806528,0.000806528
46,747.27,1.18197,0.72324,1.23126,0.899,0.87729,0.93136,0.56179,1.3441,0.6781,1.43447,0.00079238,0.00079238,0.00079238
47,764.035,1.18276,0.72937,1.2394,0.88893,0.86251,0.91127,0.54529,1.35845,0.67419,1.44875,0.000778233,0.000778233,0.000778233
48,780.723,1.18205,0.71826,1.23318,0.91452,0.88939,0.93731,0.56826,1.3495,0.67276,1.43842,0.000764086,0.000764086,0.000764086
49,797.36,1.16715,0.72508,1.22926,0.87944,0.86291,0.91681,0.56218,1.35144,0.70158,1.44128,0.000749939,0.000749939,0.000749939
50,813.954,1.17414,0.71934,1.2332,0.90741,0.86977,0.92338,0.54491,1.39049,0.68695,1.47771,0.000735792,0.000735792,0.000735792
51,830.741,1.17775,0.71584,1.23304,0.90124,0.86376,0.92953,0.56321,1.33749,0.66292,1.42828,0.000721645,0.000721645,0.000721645
52,847.344,1.16658,0.70286,1.22182,0.87178,0.88177,0.93114,0.56391,1.32083,0.66588,1.41823,0.000707498,0.000707498,0.000707498
53,863.947,1.14904,0.6778,1.20657,0.91485,0.85825,0.9285,0.56479,1.34829,0.66185,1.42134,0.000693351,0.000693351,0.000693351
54,880.507,1.14248,0.67847,1.20898,0.90912,0.85302,0.92149,0.54922,1.36989,0.67444,1.47273,0.000679204,0.000679204,0.000679204
55,897.154,1.13681,0.67377,1.20568,0.90028,0.88635,0.93657,0.5716,1.33498,0.6641,1.43663,0.000665057,0.000665057,0.000665057
56,913.683,1.14846,0.70163,1.21247,0.91226,0.87489,0.91932,0.56366,1.3401,0.67663,1.44146,0.000650909,0.000650909,0.000650909
57,930.365,1.12927,0.66579,1.19641,0.90073,0.87831,0.93051,0.56745,1.33335,0.65871,1.43622,0.000636762,0.000636762,0.000636762
58,946.549,1.15223,0.68327,1.21146,0.89309,0.89015,0.93007,0.56652,1.35792,0.65039,1.46061,0.000622615,0.000622615,0.000622615
59,962.683,1.12245,0.67176,1.20272,0.88694,0.88708,0.92535,0.57913,1.31278,0.65094,1.42272,0.000608468,0.000608468,0.000608468
60,978.915,1.11664,0.65984,1.19919,0.90909,0.87572,0.92981,0.56562,1.35233,0.64152,1.44667,0.000594321,0.000594321,0.000594321
61,994.359,1.11836,0.65501,1.19285,0.92199,0.89266,0.93947,0.57828,1.34777,0.64583,1.43025,0.000580174,0.000580174,0.000580174
62,1010.17,1.1176,0.65812,1.1963,0.88653,0.89644,0.92246,0.55982,1.33677,0.65529,1.43634,0.000566027,0.000566027,0.000566027
63,1025.66,1.11483,0.64874,1.18979,0.92479,0.86352,0.92586,0.56025,1.3588,0.65252,1.45441,0.00055188,0.00055188,0.00055188
64,1041.15,1.11236,0.6589,1.19478,0.89911,0.86378,0.92593,0.56224,1.3633,0.66471,1.44958,0.000537733,0.000537733,0.000537733
65,1056.57,1.09851,0.64713,1.1777,0.87758,0.88557,0.92204,0.56461,1.34587,0.65467,1.43387,0.000523586,0.000523586,0.000523586
66,1072.18,1.09232,0.63504,1.17117,0.87553,0.88672,0.92614,0.554,1.37851,0.65789,1.475,0.000509438,0.000509438,0.000509438
67,1087.77,1.09475,0.63945,1.18603,0.88978,0.87003,0.91707,0.56051,1.35843,0.67995,1.46219,0.000495291,0.000495291,0.000495291
68,1103.21,1.07639,0.62505,1.17201,0.8824,0.87338,0.92017,0.55675,1.35944,0.65322,1.47548,0.000481144,0.000481144,0.000481144
69,1118.89,1.07637,0.62751,1.16348,0.93285,0.89122,0.9349,0.57132,1.33537,0.63174,1.45257,0.000466997,0.000466997,0.000466997
70,1134.46,1.09467,0.63732,1.18488,0.91909,0.87801,0.92863,0.57147,1.31454,0.6325,1.43402,0.00045285,0.00045285,0.00045285
